DATA;LOCAL;TIME CASA;PLACAR;TIME VISITANTE
22/02/2019 - 20:00;HEBRAICA;FLUMINENSE F.C.;3|0;CURITIBA VÔLEI
22/02/2019 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;3|2;BRB/BRASILIA VOLEI
22/02/2019 - 21:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|2;SESC RJ
12/03/2019 - 19:30;JOSE CORREA;HINODE BARUERI;1|3;DENTIL/PRAIA CLUBE
12/03/2019 - 20:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|1;VOLEI BALNEARIO CAMBORIU
26/02/2019 - 19:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;1|3;FLUMINENSE F.C.
26/02/2019 - 19:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|1;OSASCO VOLEIBOL CLUBE/AUDAX
26/02/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;1|3;SESI VOLEI BAURU
26/02/2019 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;3|2;ESPORTE CLUBE PINHEIROS
26/02/2019 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;0|3;HINODE BARUERI
26/02/2019 - 21:00;TIJUCA TENIS CLUBE;SESC RJ;2|3;MINAS TENIS CLUBE
08/03/2019 - 19:00;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|0;CURITIBA VÔLEI
08/03/2019 - 19:30;JOSE CORREA;HINODE BARUERI;3|0;BRB/BRASILIA VOLEI
08/03/2019 - 20:00;HEBRAICA;FLUMINENSE F.C.;3|0;SAO CRISTOVAO SAUDE SAO CAETANO
08/03/2019 - 21:30;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;2|3;DENTIL/PRAIA CLUBE
09/03/2019 - 17:00;JEUNESSE ARENA;SESC RJ;3|0;VOLEI BALNEARIO CAMBORIU
09/03/2019 - 18:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;2|3;SESI VOLEI BAURU
15/03/2019 - 21:30;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;3|1;VOLEI BALNEARIO CAMBORIU
15/03/2019 - 21:30;PANELA DE PRESSAO;SESI VOLEI BAURU;1|3;FLUMINENSE F.C.
